"","rgn_name","year","wqi_score"
"1","Connecticut",2006,56.1427667425784
"2","Connecticut",2010,61.8721693999212
"3","Maine",2006,98.9160748797048
"4","Maine",2010,92.4704885739959
"5","Massachusetts-Gulf of Maine",2006,92.6470588235294
"6","Massachusetts-Gulf of Maine",2010,97.0255637148263
"7","Massachusetts-Virginian",2006,88.3076638892744
"8","Massachusetts-Virginian",2010,95.3770333027641
"9","New Hampshire",2006,71.2962962962963
"10","New Hampshire",2010,66.4232020265157
"11","New York",2006,68.6947771205414
"12","New York",2010,69.6538866964029
"13","Rhode Island",2006,76.3099068314533
"14","Rhode Island",2010,91.4192264057438
