year,pay,state
2017,66636,CT
2016,65870,CT
2015,65530,CT
2014,63919,CT
2013,62357,CT
2012,62085,CT
2011,61145,CT
2010,59465,CT
2009,57771,CT
2008,58395,CT
2007,58029,CT
2006,54814,CT
2005,52954,CT
2004,51007,CT
2003,48328,CT
2002,46852,CT
2001,46993,CT
2017,43911,ME
2016,42596,ME
2015,41791,ME
2014,40442,ME
2013,39279,ME
2012,38606,ME
2011,38020,ME
2010,37338,ME
2009,36617,ME
2008,36317,ME
2007,35129,ME
2006,33794,ME
2005,32701,ME
2004,31906,ME
2003,30750,ME
2002,29736,ME
2001,28815,ME
2017,69929,MA
2016,67432,MA
2015,66692,MA
2014,64103,MA
2013,61790,MA
2012,60898,MA
2011,59671,MA
2010,57770,MA
2009,56267,MA
2008,56746,MA
2007,55244,MA
2006,52435,MA
2005,50095,MA
2004,48916,MA
2003,46323,MA
2002,44954,MA
2001,44975,MA
2017,55138,NH
2016,53563,NH
2015,52553,NH
2014,51165,NH
2013,48963,NH
2012,48272,NH
2011,47281,NH
2010,45957,NH
2009,44932,NH
2008,44912,NH
2007,43863,NH
2006,42447,NH
2005,40551,NH
2004,39176,NH
2003,37321,NH
2002,36176,NH
2001,35481,NH
2017,70682,NY
2016,67940,NY
2015,67521,NY
2014,65880,NY
2013,63089,NY
2012,62669,NY
2011,61792,NY
2010,60291,NY
2009,57739,NY
2008,60288,NY
2007,59439,NY
2006,55479,NY
2005,51937,NY
2004,49941,NY
2003,47247,NY
2002,46328,NY
2001,46727,NY
2017,52840,RI
2016,51453,RI
2015,50651,RI
2014,49297,RI
2013,47732,RI
2012,46716,RI
2011,45705,RI
2010,44645,RI
2009,43439,RI
2008,43029,RI
2007,41646,RI
2006,40454,RI
2005,38751,RI
2004,37651,RI
2003,36415,RI
2002,34810,RI
2001,33603,RI
2001,39432.333333333336,Northeast
2002,39809.333333333336,Northeast
2003,41064,Northeast
2004,43099.5,Northeast
2005,44498.166666666664,Northeast
2006,46570.5,Northeast
2007,48891.666666666664,Northeast
2008,49947.833333333336,Northeast
2009,49460.833333333336,Northeast
2010,50911,Northeast
2011,52269,Northeast
2012,53207.666666666664,Northeast
2013,53868.333333333336,Northeast
2014,55801,Northeast
2015,57456.333333333336,Northeast
2016,58142.333333333336,Northeast
2017,59856,Northeast
